gps.lat,gps.lon,lte.lCurrentCellid,lte.lEnbId,lte.lSectorId,lte.lPhyCellId,lte.lCqi,lte.lRi,lte.lMcs,lte.lRssi,lte.lRsrp,lte.lRsrq,lte.lSinr,lte.lNrRsrp,lte.lNrRsrq,lte.lNrSinr,date,lte.earfcn,phy-cellid,gps.speed-v
54.328146,10.182439,26762753,104542,1,239,4,1,1,-50,-84,-150,10,-93,-110,30,2022-08-28 16:22:38,1300,239,0.162976
54.328146,10.182437,26762753,104542,1,239,4,1,1,-50,-84,-150,10,-93,-110,30,2022-08-28 16:22:39,1300,239,0.307432
54.328147,10.182437,26762753,104542,1,239,4,1,1,-50,-84,-150,10,-93,-110,30,2022-08-28 16:22:40,1300,239,0.26854
54.328147,10.182437,26762753,104542,1,239,4,1,1,-50,-86,-170,8,-93,-110,30,2022-08-28 16:22:41,1300,239,0.188904
54.328147,10.182437,26762753,104542,1,239,4,1,1,-50,-86,-170,8,-93,-110,30,2022-08-28 16:22:42,1300,239,0.07408
54.328147,10.182437,26762753,104542,1,239,4,1,1,-50,-86,-170,8,-93,-110,30,2022-08-28 16:22:43,1300,239,0.272244
54.328149,10.182437,26762753,104542,1,239,4,1,1,-50,-85,-150,8,-89,-110,26,2022-08-28 16:22:44,1300,239,0.162976
54.328149,10.182437,26762753,104542,1,239,4,1,1,-50,-85,-150,8,-89,-110,26,2022-08-28 16:22:45,1300,239,0.162976
54.328149,10.182439,26762753,104542,1,239,4,1,1,-50,-85,-150,8,-89,-110,26,2022-08-28 16:22:46,1300,239,0.06482
54.328147,10.182439,26762753,104542,1,239,3,1,0,-51,-86,-160,6,-88,-110,26,2022-08-28 16:22:47,1300,239,0.201868
54.328147,10.182441,26762753,104542,1,239,3,1,0,-51,-86,-160,6,-88,-110,26,2022-08-28 16:22:48,1300,239,0.112972
54.328149,10.182441,26762753,104542,1,239,3,1,0,-51,-86,-160,6,-88,-110,26,2022-08-28 16:22:49,1300,239,0.098156
54.328147,10.182439,26762753,104542,1,239,3,1,2,-51,-86,-170,8,-90,-110,26,2022-08-28 16:22:50,1300,239,0.146308
54.328147,10.182439,26762753,104542,1,239,3,1,2,-51,-86,-170,8,-90,-110,26,2022-08-28 16:22:51,1300,239,0.251872
54.328147,10.182439,26762753,104542,1,239,3,1,2,-51,-86,-170,8,-90,-110,26,2022-08-28 16:22:52,1300,239,0.059264
54.328147,10.182439,26762753,104542,1,239,3,1,0,-51,-86,-150,8,-89,-110,30,2022-08-28 16:22:53,1300,239,0.016668
54.328147,10.182439,26762753,104542,1,239,3,1,0,-51,-86,-150,8,-89,-110,30,2022-08-28 16:22:54,1300,239,0.100008
54.328146,10.182439,26762753,104542,1,239,3,1,0,-51,-86,-150,8,-89,-110,30,2022-08-28 16:22:55,1300,239,0.057412
54.328146,10.182441,26762753,104542,1,239,4,2,1,-51,-86,-150,10,-89,-110,26,2022-08-28 16:22:56,1300,239,0.031484
54.328144,10.182441,26762753,104542,1,239,4,2,1,-51,-86,-150,10,-89,-110,26,2022-08-28 16:22:57,1300,239,0.068524
54.328144,10.182442,26762753,104542,1,239,4,2,1,-51,-86,-150,10,-89,-110,26,2022-08-28 16:22:58,1300,239,0.031484
54.328144,10.182442,26762753,104542,1,239,4,1,1,-51,-85,-140,6,-89,-110,26,2022-08-28 16:22:59,1300,239,0.042596
54.328144,10.182444,26762753,104542,1,239,4,1,1,-51,-85,-140,6,-89,-110,26,2022-08-28 16:23:00,1300,239,0.12038
54.328144,10.182446,26762753,104542,1,239,4,1,1,-51,-85,-140,6,-89,-110,26,2022-08-28 16:23:01,1300,239,0.246316
54.328144,10.182446,26762753,104542,1,239,5,1,1,-54,-86,-140,8,-89,-110,28,2022-08-28 16:23:02,1300,239,0.088896
54.328144,10.182447,26762753,104542,1,239,5,1,1,-54,-86,-140,8,-89,-110,28,2022-08-28 16:23:03,1300,239,0.020372
54.328144,10.182449,26762753,104542,1,239,5,1,1,-54,-86,-140,8,-89,-110,28,2022-08-28 16:23:04,1300,239,0.118528
54.328144,10.182449,26762753,104542,1,239,4,1,6,-53,-86,-140,8,-90,-110,26,2022-08-28 16:23:05,1300,239,0.133344
54.328146,10.182447,26762753,104542,1,239,4,1,6,-53,-86,-140,8,-90,-110,26,2022-08-28 16:23:06,1300,239,0.218536
54.328146,10.182447,26762753,104542,1,239,4,1,6,-53,-86,-140,8,-90,-110,26,2022-08-28 16:23:07,1300,239,0.135196
54.328144,10.182447,26762753,104542,1,239,6,1,1,-54,-86,-140,8,-90,-110,28,2022-08-28 16:23:08,1300,239,0.261132
54.328144,10.182447,26762753,104542,1,239,6,1,1,-54,-86,-140,8,-90,-110,28,2022-08-28 16:23:09,1300,239,0.048152
54.328144,10.182447,26762753,104542,1,239,6,1,1,-54,-86,-140,8,-90,-110,28,2022-08-28 16:23:10,1300,239,0.107416
54.328144,10.182447,26762753,104542,1,239,3,1,2,-52,-86,-140,10,-89,-110,26,2022-08-28 16:23:11,1300,239,0.079636
54.328144,10.182446,26762753,104542,1,239,3,1,2,-52,-86,-140,10,-89,-110,26,2022-08-28 16:23:12,1300,239,0.190756
54.328144,10.182446,26762753,104542,1,239,3,1,2,-52,-86,-140,10,-89,-110,26,2022-08-28 16:23:13,1300,239,0.0463
54.328144,10.182446,26762753,104542,1,239,4,1,1,-53,-86,-140,10,-88,-110,28,2022-08-28 16:23:14,1300,239,0.205572
54.328144,10.182446,26762753,104542,1,239,4,1,1,-53,-86,-140,10,-88,-110,28,2022-08-28 16:23:15,1300,239,0.118528
54.328144,10.182444,26762753,104542,1,239,4,1,1,-53,-86,-140,10,-88,-110,28,2022-08-28 16:23:16,1300,239,0.088896
54.328144,10.182444,26762753,104542,1,239,3,1,4,-54,-86,-130,10,-89,-110,28,2022-08-28 16:23:17,1300,239,0.10186
54.328144,10.182444,26762753,104542,1,239,3,1,4,-54,-86,-130,10,-89,-110,28,2022-08-28 16:23:18,1300,239,0.125936
54.328144,10.182444,26762753,104542,1,239,3,1,4,-54,-86,-130,10,-89,-110,28,2022-08-28 16:23:19,1300,239,0.159272
54.328144,10.182444,26762753,104542,1,239,4,1,0,-53,-86,-140,8,-88,-110,30,2022-08-28 16:23:20,1300,239,0.061116
54.328144,10.182442,26762753,104542,1,239,4,1,0,-53,-86,-140,8,-88,-110,30,2022-08-28 16:23:21,1300,239,0.031484
54.328144,10.182442,26762753,104542,1,239,4,1,0,-53,-86,-140,8,-88,-110,30,2022-08-28 16:23:22,1300,239,0.116676
54.328144,10.182442,26762753,104542,1,239,4,1,1,-53,-86,-140,10,-89,-110,28,2022-08-28 16:23:23,1300,239,0.042596
54.328142,10.182442,26762753,104542,1,239,4,1,1,-53,-86,-140,10,-89,-110,28,2022-08-28 16:23:24,1300,239,0.146308
54.328142,10.182442,26762753,104542,1,239,4,1,1,-53,-86,-140,10,-89,-110,28,2022-08-28 16:23:25,1300,239,0.050004
54.328142,10.182441,26762753,104542,1,239,4,1,0,-52,-86,-150,12,-89,-110,26,2022-08-28 16:23:26,1300,239,0.105564
54.328142,10.182441,26762753,104542,1,239,4,1,0,-52,-86,-150,12,-89,-110,26,2022-08-28 16:23:27,1300,239,0.059264
54.328144,10.182441,26762753,104542,1,239,4,1,0,-52,-86,-150,12,-89,-110,26,2022-08-28 16:23:28,1300,239,0.044448
54.328142,10.182439,26762753,104542,1,239,4,1,1,-51,-86,-140,10,-89,-110,28,2022-08-28 16:23:29,1300,239,0.140752
54.328142,10.182441,26762753,104542,1,239,4,1,1,-51,-86,-140,10,-89,-110,28,2022-08-28 16:23:30,1300,239,0.062968
54.328142,10.182439,26762753,104542,1,239,4,1,1,-51,-86,-140,10,-89,-110,28,2022-08-28 16:23:31,1300,239,0.144456
54.328142,10.182439,26762753,104542,1,239,4,1,1,-53,-86,-140,8,-89,-110,26,2022-08-28 16:23:32,1300,239,0.07408
54.328142,10.182439,26762753,104542,1,239,4,1,1,-53,-86,-140,8,-89,-110,26,2022-08-28 16:23:33,1300,239,0.068524
54.328142,10.182439,26762753,104542,1,239,4,1,1,-53,-86,-140,8,-89,-110,26,2022-08-28 16:23:34,1300,239,0.072228
54.328142,10.182439,26762753,104542,1,239,9,1,4,-53,-86,-140,10,-90,-110,28,2022-08-28 16:23:35,1300,239,0.088896
