datarate,PCell_Downlink_TB_Size,SCell_Downlink_TB_Size,PCell_SNR_1,PCell_SNR_2,SCell_SNR_1,SCell_SNR_2,PCell_RSSI_1,PCell_RSSI_2,PCell_RSSI_max,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRP_max,PCell_Downlink_Average_MCS,SCell_Downlink_Average_MCS,PCell_Downlink_Num_RBs,SCell_Downlink_Num_RBs,date
82400000.0,3965745.0,6496042.0,20.3889999961853,23.55399990081787,21.29599994659424,26.606999950408934,-40.9275,-44.103125,-44.103125,-75.408125,-78.470625,-75.408125,24.0,24.0,29412.0,47900.0,24
81700000.0,5474364.0,6169772.0,19.68199987411499,22.426999969482424,21.894999961853028,27.105000019073486,-40.668125,-43.898125,-43.898125,-75.696875,-78.655625,-75.696875,24.0,24.0,41471.0,45832.0,25
84200000.0,5068542.0,6127041.0,20.067000007629396,23.076000099182128,21.719999980926513,26.887000007629396,-40.7525,-44.075625,-44.075625,-75.36625,-78.581875,-75.36625,25.0,25.0,36604.0,44068.0,26
69000000.0,3564405.0,6852654.0,20.188999996185302,22.39699998855591,21.46599998474121,26.833000049591064,-40.778125,-44.5925,-44.5925,-75.348125,-78.77375,-75.348125,23.0,26.0,29721.0,44036.0,27
83900000.0,5579810.0,7607604.0,19.85900005340576,22.77399995803833,20.643000030517577,26.57399995803833,-41.00375,-44.186875,-44.186875,-75.68125,-78.563125,-75.68125,23.0,27.0,44531.0,47198.0,28
90900000.0,4913116.0,6740545.0,19.845999984741212,23.78100009918213,22.27200002670288,26.22599998474121,-41.3425,-44.669375,-44.669375,-75.868125,-78.829375,-75.868125,23.0,26.0,42175.0,45968.0,29
76500000.0,4005247.0,6580521.0,19.61700004577637,23.22299995422363,22.236000061035156,26.075999984741213,-40.833125,-44.740625,-44.740625,-75.48625,-78.78,-75.48625,22.0,25.0,36571.0,47648.0,30
65099999.99999999,3608394.0,6609393.0,19.417999973297118,22.72799997329712,23.09600004196167,26.34999990463257,-40.9275,-44.546875,-44.546875,-75.733125,-78.89625,-75.733125,24.0,26.0,27753.0,45294.0,31
82800000.0,5253815.0,6699776.0,19.889000053405763,23.36400001525879,22.973999881744383,26.488999919891356,-41.1,-44.74875,-44.74875,-75.825,-79.1025,-75.825,26.0,25.0,35534.0,46654.0,32
86800000.0,5402618.0,6703533.0,20.463000068664552,23.292999877929688,22.84900005340576,26.107000122070314,-40.63,-44.87,-44.87,-75.13625,-79.060625,-75.13625,26.0,25.0,36077.0,47585.0,33
83400000.0,5862323.0,6654843.0,20.49200008392334,23.601000003814697,23.14200002670288,26.382000007629394,-40.7425,-45.105625,-45.105625,-75.191875,-79.1825,-75.191875,25.0,25.0,41643.0,47744.0,34
80400000.0,5303915.0,6478414.0,20.311000022888184,23.643999919891357,22.981999969482423,26.07899991989136,-40.839375,-44.93,-44.93,-75.259375,-79.03625,-75.259375,26.0,25.0,36009.0,47264.0,35
89300000.0,6228220.0,6745543.0,19.96500003814697,23.23800006866455,23.307999954223632,25.97599998474121,-40.60875,-45.01125,-45.01125,-75.28625,-79.205,-75.28625,26.0,25.0,42177.0,48002.0,36
91200000.0,5630275.0,6367030.0,19.130999994277953,23.414999885559084,22.932000007629394,26.260000038146973,-41.42625,-45.2,-45.2,-75.968125,-79.1425,-75.968125,24.0,25.0,42192.0,45120.0,37
84200000.0,6544755.0,6013943.0,20.68900007247925,23.512000045776368,23.040000076293946,26.30700008392334,-40.22125,-45.15125,-45.15125,-74.683125,-79.080625,-74.683125,26.0,25.0,45077.0,43470.0,38
84600000.0,5482879.0,6527610.0,20.924000053405763,23.748999996185304,23.437999935150145,26.891999912261962,-39.749375,-44.65125,-44.65125,-74.388125,-78.829375,-74.388125,25.0,25.0,38254.0,46730.0,39
87200000.0,6179195.0,6214764.0,20.71799987792969,24.12699998855591,23.752999992370604,26.26500005722046,-39.983125,-44.58125,-44.58125,-74.689375,-78.848125,-74.689375,26.0,25.0,41518.0,44892.0,40
